Ref,Val,Package,PosX,PosY,Rot,Side
"C1","33pF","C_1808_4520Metric",202.315000,-120.150000,0.000000,top
"C2","33pF","C_1808_4520Metric",202.315000,-123.000000,0.000000,top
"C3","3.9nF","C_1206_3216Metric",227.075000,-125.800000,180.000000,top
"C4","1uF","CP_Elec_4x5.4",207.075000,-114.200000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",208.390000,-123.425000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",215.390000,-123.425000,-90.000000,top
"C7","2.7nF","C_0603_1608Metric",210.275000,-115.975000,-90.000000,top
"C8","680pF","C_1808_4520Metric",240.200000,-134.575000,-90.000000,top
"C9","680pF","C_1808_4520Metric",237.200000,-134.575000,-90.000000,top
"C10","0.01uF","C_0603_1608Metric",231.750000,-111.225000,90.000000,top
"C30","120pF","C_1206_3216Metric",214.350000,-131.000000,180.000000,top
"C31","120pF","C_1206_3216Metric",220.250000,-127.475000,90.000000,top
"C50","0.1uF","C_0603_1608Metric",196.875000,-117.975000,-90.000000,top
"C51","0.1uF","C_0603_1608Metric",192.450000,-124.000000,180.000000,top
"C52","0.1uF","C_0603_1608Metric",190.975000,-93.600000,0.000000,top
"C75","10uF","C_0805_2012Metric",245.650000,-92.400000,180.000000,top
"C76","22uF","C_0805_2012Metric",243.600000,-89.650000,-90.000000,top
"C_LED1","0.1uF","C_0603_1608Metric",235.200000,-99.200000,0.000000,top
"D1","MDB6S","TSSOP-4_4.4x5mm_P4mm",233.337500,-119.400000,0.000000,top
"D2","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",232.125000,-99.835000,0.000000,top
"FB1","600 Ohm","L_0603_1608Metric",238.000000,-125.287500,-90.000000,top
"FB2","600 Ohm","L_0603_1608Metric",238.000000,-113.787500,-90.000000,top
"FB203","600 Ohm","L_0603_1608Metric",240.712500,-114.500000,0.000000,top
"FB204","600 Ohm","L_0603_1608Metric",240.712500,-126.000000,0.000000,top
"J1","RJE0166002","AMPHENOL_RJE0166002",251.600000,-119.985200,90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",255.890000,-95.200000,90.000000,top
"L1","2.2uH","IND_VLS3012HBX-2R2M-N",247.400000,-85.950000,90.000000,top
"Q1","MMBTA42","SOT-23",228.337500,-115.950000,0.000000,top
"Q2","MMBTA92","SOT-23",234.687500,-111.250000,0.000000,top
"Q3","MMBTA42","SOT-23",219.940000,-112.662500,90.000000,top
"Q4","MMBTA06","SOT-23",218.737500,-122.600000,0.000000,top
"Q5","MMBTA06","SOT-23",218.790000,-118.700000,0.000000,top
"R1","1.07k Ohm","R_1206_3216Metric",212.275000,-114.137500,-90.000000,top
"R2","150 Ohm","R_0603_1608Metric",215.100000,-117.800000,0.000000,top
"R3","3.65k Ohm","R_1206_3216Metric",231.862500,-114.200000,180.000000,top
"R4","2.49k Ohm","R_1206_3216Metric",226.862500,-123.200000,0.000000,top
"R5","100k Ohm","R_0603_1608Metric",225.350000,-117.075000,90.000000,top
"R6","100k Ohm","R_0603_1608Metric",229.950000,-111.175000,-90.000000,top
"R9","1M Ohm","R_0603_1608Metric",207.100000,-120.000000,180.000000,top
"R10","536 Ohm","R_1206_3216Metric",225.737500,-108.800000,0.000000,top
"R11","73.2 Ohm","R_1206_3216Metric",226.862500,-120.200000,180.000000,top
"R12","56.2 Ohm","R_0603_1608Metric",197.615000,-120.200000,0.000000,top
"R13","56.2 Ohm","R_0603_1608Metric",197.575000,-123.000000,0.000000,top
"R30","15M Ohm","R_1206_3216Metric",214.337500,-128.600000,0.000000,top
"R31","5.1M Ohm","R_1206_3216Metric",210.675000,-126.462500,-90.000000,top
"R32","15M Ohm","R_1206_3216Metric",217.850000,-127.487500,-90.000000,top
"R33","5.1M Ohm","R_1206_3216Metric",214.252500,-126.200000,0.000000,top
"R52","47k Ohm","R_0603_1608Metric",214.500000,-102.600000,180.000000,top
"R53","47k Ohm","R_0603_1608Metric",214.800000,-92.100000,180.000000,top
"R54","47k Ohm","R_0603_1608Metric",196.100000,-124.600000,180.000000,top
"R55","10k Ohm","R_0603_1608Metric",191.000000,-92.100000,0.000000,top
"R71","5.1k Ohm","R_0603_1608Metric",248.785000,-96.550000,180.000000,top
"R72","5.1k Ohm","R_0603_1608Metric",248.985000,-93.550000,180.000000,top
"R73","22 Ohm","R_0603_1608Metric",244.785000,-95.750000,180.000000,top
"R74","22 Ohm","R_0603_1608Metric",244.785000,-94.150000,180.000000,top
"R75","100k Ohm","R_0603_1608Metric",246.175000,-88.600000,0.000000,top
"RV1","P3100SBL","D_SMB",239.800000,-119.850000,-90.000000,top
"R_BO1","10k Ohm","R_0603_1608Metric",228.185000,-94.775000,0.000000,top
"R_LED1","330 Ohm","R_0603_1608Metric",234.475000,-101.625000,90.000000,top
"SW1","B3U-1000P","SW_SPST_B3U-1000P",232.125000,-94.600000,0.000000,top
"U1","~","3019-F-FM-QFN40P300X300X90-21N",211.590000,-120.715000,0.000000,top
"U2","~","3050-E1-FM-QFN50P400X400X80-25N",192.275000,-120.600000,0.000000,top
"U3","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",203.215000,-96.500000,0.000000,top
"U4","TPS62162DSG","Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",249.000000,-90.400000,90.000000,top
"Z1","43V","D_SOD-123",225.900000,-111.600000,0.000000,top
